imię,płeć,wiek,wzrost,kolor oczu
Karolina,K,25,158,niebieskie
Anna,K,30,184,zielone
Beata,K,24,159,piwne
Julia,K,16,175,zielone
Aneta,K,45,168,szare
Danuta,K,45,172,piwne
Aleksandra,K,57,161,niebieskie
Olga,K,15,152,zielone
Edyta,K,15,154,szare
Joanna,K,57,165,niebieskie
Felicja,K,23,165,zielone
Izabela,K,64,168,zielone
Małgorzata,K,48,173,piwne
Alicja,K,65,176,szare
Ewa,K,74,167,piwne
Jan,M,54,175,niebieskie
Kazimierz,M,25,174,zielone
Tomasz,M,64,180,piwne
Łukasz,M,45,179,szare
Marek,M,24,169,niebieskie
Andrzej,M,65,187,zielone
Marcin,M,31,172,piwne
Jakub,M,45,171,szare
Filip,M,64,168,piwne
Adam,M,16,182,piwne
Olaf,M,34,176,zielone
Max,M,57,177,szare
Izydor,M,59,168,niebieskie
Franciszek,M,23,164,niebieskie
Jacek,M,18,173,szare
Ola,K,24,154,niebieskie
Jola,K,35,165,niebieskie
Tola,K,46,175,niebieskie
Ania,K,57,169,szare
Tania,K,68,168,szare
Alonka,K,25,169,szare
Kasia,K,23,165,piwne
Basia,K,45,164,piwne
Jasia,K,56,182,piwne
Janka,K,54,175,zielone
Anka,K,15,155,zielone
Felicja,K,17,164,zielone
janek,M,45,181,niebieskie
Franek,M,65,171,niebieskie
Olek,M,24,180,niebieskie
Tolek,M,35,170,szare
Bolek,M,62,169,szare
Lolek,M,52,176,szare
Sergiusz,M,34,178,zielone
Janek,M,46,189,zielone
Bartek,M,35,165,zielone
Janusz,M,27,178,piwne
Oskar,M,48,167,piwne
Olgierd,M,18,187,piwne
